"species"	"y"	"x"	"date"	"year"	"month"	"day"	"quarter"	"season"
"Rhincodon typus"	-3.21077	134.94755	16848	2016	2	17	"Q1"	"Winter"
"Rhincodon typus"	-22	113.9	17608	2018	3	18	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17930	2019	2	3	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17928	2019	2	1	"Q1"	"Winter"
"Rhincodon typus"	-26.38566	153.09017	18654	2021	1	27	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17558	2018	1	27	"Q1"	"Winter"
"Rhincodon typus"	-30.64056	113.25778	17560	2018	1	29	"Q1"	"Winter"
"Rhincodon typus"	-4.53691	134.4517	17946	2019	2	19	"Q1"	"Winter"
"Rhincodon typus"	-9.32404	97.89756	17583	2018	2	21	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19758	2024	2	5	"Q1"	"Winter"
"Rhincodon typus"	-26.1	113.1	17548	2018	1	17	"Q1"	"Winter"
"Rhincodon typus"	-21.81889	112.79861	16807	2016	1	7	"Q1"	"Winter"
"Rhincodon typus"	-27.5	153.5	17237	2017	3	12	"Q1"	"Spring"
"Rhincodon typus"	-7.63461	98.07962	17595	2018	3	5	"Q1"	"Spring"
"Rhincodon typus"	-29.30263	113.23044	17907	2019	1	11	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19728	2024	1	6	"Q1"	"Winter"
"Rhincodon typus"	-22	113.9	17605	2018	3	15	"Q1"	"Spring"
"Rhincodon typus"	7.05203	98.87452	18300	2020	2	8	"Q1"	"Winter"
"Rhincodon typus"	-26.6648199445983	113.310249307479	17572	2018	2	10	"Q1"	"Winter"
"Rhincodon typus"	-22	113.9	17604	2018	3	14	"Q1"	"Spring"
"Rhincodon typus"	-32.20398	113.95335	17614	2018	3	24	"Q1"	"Spring"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19767	2024	2	14	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17927	2019	1	31	"Q1"	"Winter"
"Rhincodon typus"	12.4885	123.903	16854	2016	2	23	"Q1"	"Winter"
"Rhincodon typus"	-23.174515235457	113.559556786704	17215	2017	2	18	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17917	2019	1	21	"Q1"	"Winter"
"Rhincodon typus"	-25	113.1	17577	2018	2	15	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17986	2019	3	31	"Q1"	"Spring"
"Rhincodon typus"	-22.6	113.61	16883	2016	3	23	"Q1"	"Spring"
"Rhincodon typus"	4.0434	112.44906	16477	2015	2	11	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19755	2024	2	2	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19739	2024	1	17	"Q1"	"Winter"
"Rhincodon typus"	-11.1752	111.15346	19802	2024	3	20	"Q1"	"Spring"
"Rhincodon typus"	9.08032	97.8182	16490	2015	2	24	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17918	2019	1	22	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19725	2024	1	3	"Q1"	"Winter"
"Rhincodon typus"	-31.70803	112.4519	17562	2018	1	31	"Q1"	"Winter"
"Rhincodon typus"	-21.3	114.9	17961	2019	3	6	"Q1"	"Spring"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19741	2024	1	19	"Q1"	"Winter"
"Rhincodon typus"	-31.4079	113.37002	17930	2019	2	3	"Q1"	"Winter"
"Rhincodon typus"	-23.174515235457	113.559556786704	17201	2017	2	4	"Q1"	"Winter"
"Rhincodon typus"	-3.66527	133.72289	19803	2024	3	21	"Q1"	"Spring"
"Rhincodon typus"	-36.22497	175.80097	19019	2022	1	27	"Q1"	"Winter"
"Rhincodon typus"	-35.47951	174.81567	19728	2024	1	6	"Q1"	"Winter"
"Rhincodon typus"	-32.67687	113.32735	17600	2018	3	10	"Q1"	"Spring"
"Rhincodon typus"	-12.30018	104.33928	19729	2024	1	7	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19749	2024	1	27	"Q1"	"Winter"
"Rhincodon typus"	-22	113.9	17606	2018	3	16	"Q1"	"Spring"
"Rhincodon typus"	-30.5	114.5	17569	2018	2	7	"Q1"	"Winter"
"Rhincodon typus"	0.260387811634395	123.03324099723	18279	2020	1	18	"Q1"	"Winter"
"Rhincodon typus"	-13.49543	106.76743	19742	2024	1	20	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17976	2019	3	21	"Q1"	"Spring"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19727	2024	1	5	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19765	2024	2	12	"Q1"	"Winter"
"Rhincodon typus"	12.93149	123.40399	19810	2024	3	28	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17553	2018	1	22	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19769	2024	2	16	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19739	2024	1	17	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19757	2024	2	4	"Q1"	"Winter"
"Rhincodon typus"	-26.6648199445983	113.310249307479	17555	2018	1	24	"Q1"	"Winter"
"Rhincodon typus"	-26.1	113.1	17546	2018	1	15	"Q1"	"Winter"
"Rhincodon typus"	-23.174515235457	113.559556786704	17568	2018	2	6	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17922	2019	1	26	"Q1"	"Winter"
"Rhincodon typus"	-23.174515235457	113.559556786704	16839	2016	2	8	"Q1"	"Winter"
"Rhincodon typus"	-24.4210526315789	113.310249307479	17573	2018	2	11	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17975	2019	3	20	"Q1"	"Spring"
"Rhincodon typus"	-22	113.9	17974	2019	3	19	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17915	2019	1	19	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17919	2019	1	23	"Q1"	"Winter"
"Rhincodon typus"	-7.50835	96.83628	17599	2018	3	9	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17946	2019	2	19	"Q1"	"Winter"
"Rhincodon typus"	-33.04766	111.69575	17939	2019	2	12	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19766	2024	2	13	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19726	2024	1	4	"Q1"	"Winter"
"Rhincodon typus"	0.260387811634395	123.03324099723	18279	2020	1	18	"Q1"	"Winter"
"Rhincodon typus"	-7.39649	96.22103	17601	2018	3	11	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17568	2018	2	6	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17965	2019	3	10	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17555	2018	1	24	"Q1"	"Winter"
"Rhincodon typus"	-25	113.1	17576	2018	2	14	"Q1"	"Winter"
"Rhincodon typus"	-22	113.9	17598	2018	3	8	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17929	2019	2	2	"Q1"	"Winter"
"Rhincodon typus"	9.56408	124.07848	19415	2023	2	27	"Q1"	"Winter"
"Rhincodon typus"	-12.9648	107.43807	19742	2024	1	20	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17916	2019	1	20	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17977	2019	3	22	"Q1"	"Spring"
"Rhincodon typus"	-30	153.5	18321	2020	2	29	"Q1"	"Winter"
"Rhincodon typus"	-23.88069	113.06147	17575	2018	2	13	"Q1"	"Winter"
"Rhincodon typus"	-28.6592797783933	114.556786703601	17583	2018	2	21	"Q1"	"Winter"
"Rhincodon typus"	-25	113.1	17583	2018	2	21	"Q1"	"Winter"
"Rhincodon typus"	-11.36723	108.36545	19750	2024	1	28	"Q1"	"Winter"
"Rhincodon typus"	-26.1	113.1	17938	2019	2	11	"Q1"	"Winter"
"Rhincodon typus"	-22.6	113.61	17191	2017	1	25	"Q1"	"Winter"
